,Location,Sex Assigned at Birth,Age,Education,Race/Origin,Citizenship,Marital Status,Religion,Religious Service Attendance,Politics,Income,Political Views,Household Size,Employment Status
0,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,High school graduate,White,"Yes, a citizen of the United States",Never been married,Atheist,Never,Something else,"Less than $30,000",Moderate,3 people,Self-employed
1,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,Less than high school,Hispanic,"Yes, a citizen of the United States",Never been married,Protestant,Seldom,Republican,,Conservative,3 people,Unemployed
3,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Associate's degree,White,"Yes, a citizen of the United States",Never been married,Protestant,Once or twice a month,Republican,"Less than $30,000",Conservative,1 person,Part-time employment
5,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Agnostic,Never,Something else,,Very liberal,2 people,Part-time employment
7,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,High school graduate,Black,"Yes, a citizen of the United States",Never been married,Protestant,Once a week,,,Liberal,2 people,Full-time employment
8,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,65+,"Some college, no degree",White,,Divorced,Roman Catholic,A few times a year,Independent,,Moderate,1 person,Part-time employment
13,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,30-49,College graduate/some postgrad,White,,,Roman Catholic,Seldom,Democrat,,Very liberal,2 people,Full-time employment
17,"Lives in the South region of the United States (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL).",Female.,18-29 years old.,Associate's degree.,White.,"Yes, a citizen of the United States.",Never been married.,"Other (not Protestant, Roman Catholic, Mormon, Orthodox, Jewish, Muslim, Buddhist, Hindu, Atheist, Agnostic, or Nothing in particular).",A few times a year (aside from weddings and funerals).,Independent.,,Liberal.,3 people.,Student.
20,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,Postgraduate,Hispanic,"Yes, a citizen of the United States",Married,Roman Catholic,A few times a year,,,Moderate,4 people,Home-maker
22,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Postgraduate,Black,,Divorced,Other,Seldom,,,Very liberal,3,Full-time employment
